Term,Definition,Image
Air Handler,An air handler (a.k.a. forced-air)  is a central component of a home's HVAC system that circulates and conditions air through the home’s ductwork to ensure consistent heating and cooling throughout the space.The unit is traditionally a fairly large sheet metal constructed box that sits on the basement floor and reaches up to the ceiling in the basement.,AirHandler.jpg
R-Value,"The R-value is a measure of an insulation material's resistance to allowing heat to flow or escape. Therefore, it’s best to have insulation with as high an R-value as possible (e.g. R-60 for attics and R-25 for walls)",R-Value.jpg
Energy Audit,"A home energy audit is an assessment that evaluates the energy efficiency performance of a house. A certified auditor will take approximately 60 - 90 mins to inspect the home’s insulation, heating and cooling equipment, windows and doors and walls, and then run a blower test or use infrared cameras to identify areas where energy is being lost. The results are summarized in a succinct report along with recommendations on the various measures the homeowner could implement to improve the level of efficiency. Expect to pay up to $500 for the audit and report or up to $800 for a pre and post pair of implemented energy measure audits and report with the latter often being a prerequisite for receiving grants. Regardless of whether a grant is being pursued or not, homeowners who are serious about improving the performance of their home are strongly encouraged to have a energy audit done. It is an excellent tool to help provide homeowners a compass on where and how to focus their time and money.",EnergyAudit.jpg
Electrical Panel,"An electrical panel (a.k.a. a breaker panel) is a component that houses circuit breakers and distributes electricity throughout the home, ensuring safe power distribution. 

How to identify the amperage-rating of your home’s electrical panel: To identify the amperage of your electrical panel, look for the largest breaker switch inside the panel, usually located at the top or bottom and separate from the rows of smaller breakers. This main breaker controls the power to the entire panel. The amperage rating, commonly 100, 150, or 200 amps, is typically printed on end of the handle(s) of the main breaker. If the rating isn’t visible on the breaker, check for a label inside the panel door or on the side of the panel. It is often possible to identify the panel’s rating visually without having to touch any surface. Having a flashlight handy will be helpful if the area where it’s located is not well lit. If you are unsure or don’t feel safe, however, leave it and arrange for a certified electrician to obtain the rating for you.",ElectricalPanel.jpg
Smart Thermostat,A device that automatically controls the temperature in the home. It is typically connected to the internet via the home’s WiFi enabling it to be controlled by a smartphone or computer. Most smart thermostats can control multiple heating devices which is the basis of a hybrid heating system involving a heat pump and furnace system. It is also capable of having the homeowner program different temperature settings for different times to accommodate varying temperature preference settings (e.g. cooler temperatures for sleepiing) as well as adjusting the temperature according to as on-peak and off-peak electricity pricing.,SmartThermostat.jpg
Hybrid Heating,"Hybrid heating systems combine a heat pump with furnace (gas, propane, oil) to optimize energy efficiency and comfort in the home based on current weather conditions.",HybridHeating.jpg
Vapour Barrier,"A vapor barrier is a material installed in a home's construction to prevent moisture from passing through walls, floors, and ceilings, thereby reducing the risk of mold and structural damage. The barrier can take the form of plastic sheets and sealable foam. It is one of the most important components in the home.",VapourBarrier.jpg
Induction Stove,An induction stove uses electromagnetic fields to directly heat pots and pans rather than either an electric element or natural gas flame. Induction offers more precise temperature control and faster cooking compared to traditional gas or electric stoves. This appliance will also not heat up the kitchen anywhere near as much as traditional gas and electric stoves.,InductionStove.jpg
Furnace,"A home’s furnace is a heating system that uses natural gas, propane or fuel oil to generate heat. It works by igniting the fuel in a burner, which produces heat in the form of hot air. This hot air is then distributed throughout the home via a blower and a network of ducts.",Furnace.jpg
Boiler,"A home boiler is a heating system (a.k.a. Hydronic heating) that uses water to provide warmth through radiators or underfloor heating rather than blowing air through a ductwork system. The boiler typically combusts fossil fuel such as natural gas, propane or oil. Unlike a ductwork based system, a hydronic system is not used for cooling thereby requiring a separate system altogether to cool the premise.",Boiler.jpg
Heat Pump,"A heat pump is a device that efficiently transfers heat between the indoors and outdoors to provide both heating and cooling, depending on the season. In a ductwork-based home, the heat pump usually replaces the air conditioner. Moving heat from one spot to another takes far less energy than creating heat from burning a fossil fuel or heating up an electrical element. 

Most homeowners don’t realize that they already own several heat pumps. Their fridge, freezer, home’s air conditioner and car’s air conditioner are all heat pumps. They all move the unwanted heat from inside to outside thereby reducing the resulting temperature (i.e. cool is the absence of heat). The only problem with a traditional home air conditioner, however, is that it is only capable of moving the heat from inside the home to outside (i.e. cooling season), but not taking heat from outside and moving it to inside.

Heat pumps are usually capable of heating down to outside temperatures just under freezing such as >-5C. A subset of heat pumps, referred to as cold climate heat pumps, is designed to operate efficiently in lower temperatures, often well below freezing.",HeatPump.jpg
